"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","20.64","20.87","20.99","20.24","20.72M","-1.10%"
"06/01/2025","20.87","20.79","20.97","20.18","17.99M","0.34%"
"05/31/2025","20.80","20.55","21.12","19.79","28.57M","1.21%"
"05/30/2025","20.55","22.28","22.36","20.43","43.54M","-7.64%"
"05/29/2025","22.25","23.64","24.33","22.20","51.95M","-5.72%"
"05/28/2025","23.60","23.38","23.78","22.78","32.04M","0.98%"
"05/27/2025","23.37","23.05","23.88","22.54","40.50M","1.34%"
"05/26/2025","23.06","23.46","24.00","22.88","28.42M","-1.54%"
"05/25/2025","23.42","22.94","23.47","22.04","24.21M","2.01%"
"05/24/2025","22.96","22.99","23.48","22.76","28.54M","-0.44%"
"05/23/2025","23.06","25.29","25.97","22.93","69.45M","-8.67%"
"05/22/2025","25.25","23.15","25.43","23.15","62.41M","8.93%"
"05/21/2025","23.18","22.61","23.80","22.16","48.62M","2.52%"
"05/20/2025","22.61","22.27","22.81","21.76","27.69M","1.61%"
"05/19/2025","22.25","23.09","23.16","21.28","27.12M","-3.51%"
"05/18/2025","23.06","22.15","23.85","21.63","34.48M","4.01%"
"05/17/2025","22.17","23.05","23.13","21.97","21.69M","-3.86%"
"05/16/2025","23.06","23.46","24.06","22.69","28.26M","-1.87%"
"05/15/2025","23.50","24.97","25.13","22.98","37.35M","-5.81%"
"05/14/2025","24.95","25.74","26.54","24.76","32.42M","-3.03%"
"05/13/2025","25.73","24.82","26.23","23.46","39.65M","3.62%"
"05/12/2025","24.83","24.78","26.82","23.77","65.50M","0.19%"
"05/11/2025","24.78","25.75","26.02","24.16","25.89M","-3.96%"
"05/10/2025","25.80","23.33","25.97","23.03","37.36M","10.92%"
"05/09/2025","23.26","22.16","23.98","21.97","29.26M","4.97%"
"05/08/2025","22.16","19.55","22.16","19.50","19.12M","13.37%"
"05/07/2025","19.55","20.01","20.25","19.09","8.46M","-2.23%"
"05/06/2025","19.99","19.72","20.12","19.28","5.37M","1.58%"
"05/05/2025","19.68","19.90","20.23","19.31","5.27M","-1.14%"
"05/04/2025","19.91","20.49","20.64","19.77","4.56M","-2.98%"
"05/03/2025","20.52","21.25","21.28","20.50","4.19M","-3.43%"
"05/02/2025","21.25","21.67","22.17","20.98","7.22M","-1.79%"
"05/01/2025","21.64","20.92","21.87","20.82","8.26M","3.44%"
"04/30/2025","20.92","21.55","21.90","20.49","7.42M","-2.98%"
"04/29/2025","21.56","21.83","22.29","21.28","7.03M","-1.26%"
"04/28/2025","21.84","21.70","22.43","21.03","9.21M","0.57%"
"04/27/2025","21.71","22.44","22.79","21.68","4.08M","-3.06%"
"04/26/2025","22.40","22.21","22.92","21.72","5.46M","0.95%"
"04/25/2025","22.19","22.35","22.86","21.78","7.50M","-0.82%"
"04/24/2025","22.37","22.37","22.62","21.62","6.40M","0.13%"
"04/23/2025","22.34","22.13","23.08","21.90","9.80M","1.25%"
"04/22/2025","22.06","19.91","22.28","19.46","10.20M","10.79%"
"04/21/2025","19.92","19.53","20.92","19.52","7.20M","2.08%"
"04/20/2025","19.51","19.91","20.03","19.23","2.99M","-1.85%"
"04/19/2025","19.88","19.07","20.35","19.03","3.69M","4.24%"
"04/18/2025","19.07","19.08","19.34","18.85","2.26M","0.11%"
"04/17/2025","19.05","18.74","19.56","18.69","3.97M","1.54%"
"04/16/2025","18.76","18.95","19.27","18.52","5.26M","-1.35%"
"04/15/2025","19.02","20.14","20.28","18.97","5.82M","-5.42%"
"04/14/2025","20.11","19.58","20.66","19.57","6.92M","2.64%"
"04/13/2025","19.59","20.49","20.66","19.31","6.03M","-4.36%"
"04/12/2025","20.48","19.16","21.02","18.86","7.36M","7.10%"
"04/11/2025","19.13","18.33","19.56","18.32","7.62M","4.42%"
"04/10/2025","18.32","18.42","18.44","17.59","6.35M","-0.73%"
"04/09/2025","18.45","16.14","18.88","15.60","12.31M","14.22%"
"04/08/2025","16.15","16.71","17.71","15.95","7.77M","-3.16%"
"04/07/2025","16.68","16.06","17.14","14.69","16.53M","3.96%"
"04/06/2025","16.05","17.80","17.91","15.64","7.25M","-10.29%"
"04/05/2025","17.89","18.16","18.38","17.72","2.52M","-1.62%"
"04/04/2025","18.18","18.16","18.76","17.62","6.89M","0.22%"
"04/03/2025","18.14","17.94","18.98","17.63","6.87M","0.89%"
"04/02/2025","17.98","19.81","19.85","17.78","10.69M","-9.21%"
"04/01/2025","19.81","18.75","19.93","18.72","5.68M","5.48%"
"03/31/2025","18.78","18.87","19.11","18.19","5.88M","-0.45%"
"03/30/2025","18.86","19.57","19.91","18.70","5.31M","-3.73%"
"03/29/2025","19.59","20.34","20.54","19.47","5.15M","-3.78%"
"03/28/2025","20.36","22.06","22.19","19.77","6.69M","-7.54%"
"03/27/2025","22.02","22.06","22.37","21.64","4.70M","-0.06%"
"03/26/2025","22.03","22.95","23.23","21.84","5.92M","-3.85%"
"03/25/2025","22.92","21.45","23.45","21.29","7.73M","6.69%"
"03/24/2025","21.48","19.85","22.11","19.81","9.84M","8.46%"
"03/23/2025","19.80","19.42","19.83","19.31","3.31M","1.95%"
"03/22/2025","19.43","19.18","19.73","19.09","3.19M","1.34%"
"03/21/2025","19.17","18.76","19.49","18.37","4.07M","2.25%"
"03/20/2025","18.75","19.72","19.84","18.42","4.98M","-5.02%"
"03/19/2025","19.74","18.98","20.09","18.85","8.37M","3.98%"
"03/18/2025","18.98","18.86","19.26","18.34","5.93M","0.87%"
"03/17/2025","18.82","18.27","19.08","18.22","5.30M","3.01%"
"03/16/2025","18.27","19.37","19.83","18.13","5.66M","-5.81%"
"03/15/2025","19.40","18.50","19.47","18.38","6.45M","4.48%"
"03/14/2025","18.56","18.49","19.29","18.48","6.74M","0.37%"
"03/13/2025","18.50","18.91","19.31","17.74","9.53M","-2.22%"
"03/12/2025","18.91","17.52","18.96","16.95","9.93M","8.14%"
"03/11/2025","17.49","16.29","17.90","15.28","18.79M","7.60%"
"03/10/2025","16.25","17.94","19.02","16.17","14.93M","-9.47%"
"03/09/2025","17.96","20.76","20.81","17.76","6.67M","-13.42%"
"03/08/2025","20.74","20.10","21.03","19.44","7.45M","2.98%"
"03/07/2025","20.14","20.99","21.30","19.74","13.03M","-4.04%"
"03/06/2025","20.99","21.84","22.55","20.91","9.96M","-3.39%"
"03/05/2025","21.72","19.97","22.46","19.69","14.59M","8.62%"
