"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","661.30","660.70","664.20","649.70","13.47M","0.09%"
"06/01/2025","660.70","657.90","662.40","647.30","11.60M","0.43%"
"05/31/2025","657.90","655.20","661.20","645.50","14.54M","0.47%"
"05/30/2025","654.80","675.10","678.30","653.20","24.74M","-3.01%"
"05/29/2025","675.10","687.00","691.00","673.10","21.67M","-1.69%"
"05/28/2025","686.70","687.00","689.30","680.00","20.63M","-0.03%"
"05/27/2025","686.90","674.20","697.21","666.41","19.58M","1.88%"
"05/26/2025","674.20","669.10","677.50","668.00","12.49M","0.76%"
"05/25/2025","669.10","667.90","671.40","657.40","15.67M","0.18%"
"05/24/2025","667.90","656.60","676.80","655.30","11.92M","1.72%"
"05/23/2025","656.60","686.31","691.30","653.80","23.89M","-4.33%"
"05/22/2025","686.30","673.49","688.91","673.20","20.77M","1.95%"
"05/21/2025","673.20","650.10","677.89","648.70","15.74M","3.55%"
"05/20/2025","650.10","649.60","653.70","640.40","8.28M","0.11%"
"05/19/2025","649.40","650.91","653.20","633.70","10.10M","-0.34%"
"05/18/2025","651.60","639.50","655.00","634.40","8.84M","1.92%"
"05/17/2025","639.30","646.20","646.70","634.71","7.52M","-1.11%"
"05/16/2025","646.50","651.61","659.70","643.71","9.69M","-0.78%"
"05/15/2025","651.60","652.20","660.89","642.30","11.34M","-0.11%"
"05/14/2025","652.30","664.59","666.10","647.20","10.39M","-1.79%"
"05/13/2025","664.20","660.00","671.01","640.81","10.71M","0.64%"
"05/12/2025","660.00","650.70","692.31","647.61","21.63M","1.40%"
"05/11/2025","650.91","662.60","668.49","648.11","12.16M","-1.96%"
"05/10/2025","663.90","666.61","678.00","648.90","18.71M","-0.39%"
"05/09/2025","666.51","629.30","669.71","623.60","20.19M","5.91%"
"05/08/2025","629.30","602.41","629.30","600.70","15.07M","4.43%"
"05/07/2025","602.60","602.50","609.00","597.80","10.91M","0.00%"
"05/06/2025","602.60","597.41","603.20","593.30","7.48M","0.87%"
"05/05/2025","597.41","585.81","599.90","583.70","6.16M","1.98%"
"05/04/2025","585.81","599.20","600.40","584.70","3.94M","-2.23%"
"05/03/2025","599.20","600.80","601.30","595.40","4.44M","-0.27%"
"05/02/2025","600.80","599.60","603.60","595.50","5.75M","0.20%"
