"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","2,163.08","2,217.39","2,546.36","2,001.16","6.26M","-2.45%"
"02/23/2025","2,217.41","2,763.48","2,838.20","2,078.11","6.05M","-19.75%"
"02/16/2025","2,763.22","2,692.47","2,845.98","2,610.55","3.93M","2.61%"
"02/09/2025","2,693.04","2,635.11","2,789.59","2,535.09","3.21M","2.34%"
"02/02/2025","2,631.51","3,116.31","3,163.00","2,262.30","7.93M","-15.63%"
"01/26/2025","3,119.17","3,320.34","3,434.05","3,030.82","3.44M","-6.00%"
"01/19/2025","3,318.15","3,304.78","3,449.60","3,133.42","4.90M","0.29%"
"01/12/2025","3,308.70","3,283.78","3,525.21","2,943.46","3.33M","0.79%"
"01/05/2025","3,282.83","3,656.88","3,742.05","3,160.60","3.02M","-10.21%"
"12/29/2024","3,656.02","3,406.53","3,669.59","3,305.57","2.08M","7.38%"
"12/22/2024","3,404.65","3,337.88","3,546.50","3,220.24","2.37M","1.98%"
"12/15/2024","3,338.56","3,867.39","4,102.92","3,103.74","5.80M","-13.76%"
"12/08/2024","3,871.19","3,998.99","4,015.19","3,521.81","3.95M","-3.13%"
"12/01/2024","3,996.22","3,703.60","4,084.99","3,510.60","5.33M","7.92%"
"11/24/2024","3,702.78","3,392.05","3,733.17","3,254.47","4.27M","9.10%"
"11/17/2024","3,394.01","3,133.27","3,495.03","3,031.00","4.30M","8.37%"
"11/10/2024","3,132.01","3,126.21","3,440.00","3,015.75","5.40M","0.14%"
"11/03/2024","3,127.73","2,494.21","3,153.35","2,362.88","3.75M","25.49%"
"10/27/2024","2,492.40","2,482.51","2,719.91","2,465.70","2.65M","0.40%"
"10/20/2024","2,482.50","2,648.90","2,766.09","2,387.00","2.53M","-6.23%"
"10/13/2024","2,647.34","2,477.54","2,681.64","2,437.40","2.02M","6.90%"
"10/06/2024","2,476.44","2,415.46","2,520.01","2,333.01","1.58M","2.54%"
"09/29/2024","2,415.00","2,676.34","2,683.69","2,311.65","2.04M","-9.74%"
"09/22/2024","2,675.70","2,613.27","2,726.62","2,527.75","1.89M","2.39%"
"09/15/2024","2,613.15","2,418.19","2,619.74","2,254.43","2.09M","8.09%"
"09/08/2024","2,417.54","2,273.71","2,459.28","2,243.26","1.74M","6.33%"
"09/01/2024","2,273.58","2,513.01","2,560.51","2,151.55","2.66M","-9.55%"
"08/25/2024","2,513.60","2,767.87","2,792.09","2,395.19","2.14M","-9.22%"
"08/18/2024","2,768.89","2,614.53","2,818.20","2,541.79","1.93M","5.91%"
"08/11/2024","2,614.32","2,609.92","2,761.71","2,518.40","2.34M","0.15%"
"08/04/2024","2,610.29","2,902.91","2,931.21","2,166.41","5.84M","-10.13%"
"07/28/2024","2,904.64","3,248.80","3,396.64","2,863.50","1.98M","-10.54%"
"07/21/2024","3,246.82","3,518.99","3,559.60","3,088.93","2.20M","-7.68%"
"07/14/2024","3,517.01","3,176.40","3,539.40","3,165.30","1.99M","10.77%"
"07/07/2024","3,174.99","3,067.60","3,214.00","2,825.98","1.88M","3.46%"
"06/30/2024","3,068.81","3,378.33","3,522.02","2,822.15","3.00M","-9.17%"
"06/23/2024","3,378.59","3,496.07","3,520.18","3,245.99","1.76M","-3.35%"
"06/16/2024","3,495.85","3,568.00","3,650.01","3,373.00","2.27M","-2.04%"
"06/09/2024","3,568.75","3,681.31","3,718.96","3,368.18","2.03M","-3.06%"
"06/02/2024","3,681.57","3,816.67","3,885.19","3,607.76","1.93M","-3.52%"
"05/26/2024","3,815.93","3,749.15","3,975.99","3,703.70","2.23M","1.78%"
"05/19/2024","3,749.26","3,125.06","3,941.40","3,048.29","4.60M","20.06%"
"05/12/2024","3,122.86","2,911.66","3,145.53","2,864.41","2.11M","7.22%"
"05/05/2024","2,912.45","3,117.12","3,219.97","2,882.69","2.03M","-6.57%"
"04/28/2024","3,117.21","3,258.60","3,347.40","2,818.96","2.99M","-4.25%"
"04/21/2024","3,255.55","3,156.13","3,292.33","3,073.92","2.03M","3.13%"
"04/14/2024","3,156.64","3,005.75","3,272.89","2,872.01","3.93M","5.08%"
"04/07/2024","3,004.06","3,351.76","3,727.81","2,862.97","3.34M","-10.38%"
"03/31/2024","3,352.00","3,505.38","3,652.88","3,203.14","2.72M","-4.41%"
"03/24/2024","3,506.80","3,328.55","3,677.31","3,300.71","2.80M","5.22%"
"03/17/2024","3,332.90","3,533.44","3,678.10","3,063.51","5.06M","-5.41%"
"03/10/2024","3,523.70","3,908.91","4,091.67","3,476.98","4.75M","-9.77%"
"03/03/2024","3,905.21","3,420.54","3,991.96","3,235.32","5.22M","14.17%"
"02/25/2024","3,420.67","2,992.66","3,520.87","2,984.24","4.11M","14.32%"
"02/18/2024","2,992.27","2,786.42","3,031.85","2,765.95","3.47M","7.41%"
"02/11/2024","2,785.92","2,500.35","2,864.68","2,473.52","2.86M","11.43%"
"02/04/2024","2,500.23","2,296.08","2,522.91","2,271.32","2.44M","8.87%"
"01/28/2024","2,296.50","2,267.30","2,389.17","2,237.67","2.07M","1.26%"
"01/21/2024","2,267.92","2,472.01","2,481.59","2,169.59","2.77M","-8.26%"
"01/14/2024","2,472.01","2,577.44","2,613.70","2,418.48","2.66M","-4.13%"
"01/07/2024","2,578.39","2,240.69","2,712.82","2,167.39","4.97M","15.08%"
"12/31/2023","2,240.46","2,291.03","2,430.51","2,122.71","2.92M","-2.24%"
"12/24/2023","2,291.68","2,309.95","2,443.56","2,184.74","2.98M","-0.73%"
"12/17/2023","2,308.58","2,228.84","2,341.50","2,123.09","3.03M","3.57%"
"12/10/2023","2,229.03","2,340.83","2,376.56","2,148.74","2.71M","-4.76%"
"12/03/2023","2,340.51","2,165.90","2,401.31","2,150.64","2.99M","8.12%"
"11/26/2023","2,164.81","2,082.42","2,179.73","1,987.41","2.05M","3.92%"
"11/19/2023","2,083.09","1,962.21","2,130.03","1,930.55","2.74M","6.19%"
"11/12/2023","1,961.68","2,052.38","2,114.90","1,908.28","3.04M","-4.47%"
"11/05/2023","2,053.45","1,856.11","2,135.99","1,846.53","3.50M","10.66%"
"10/29/2023","1,855.67","1,776.21","1,873.00","1,764.16","2.13M","4.47%"
"10/22/2023","1,776.20","1,628.71","1,864.80","1,623.28","2.84M","9.04%"
"10/15/2023","1,628.94","1,555.06","1,642.34","1,543.90","1.80M","4.76%"
"10/08/2023","1,554.94","1,633.57","1,641.33","1,523.76","1.61M","-4.81%"
"10/01/2023","1,633.56","1,670.42","1,742.33","1,609.55","1.70M","-2.23%"
"09/24/2023","1,670.90","1,593.86","1,693.71","1,564.67","1.54M","4.83%"
"09/17/2023","1,593.86","1,634.40","1,668.85","1,568.98","1.30M","-2.48%"
"09/10/2023","1,634.40","1,635.64","1,652.40","1,533.91","1.82M","-0.07%"
"09/03/2023","1,635.54","1,637.03","1,667.32","1,610.00","1.37M","-0.09%"
"08/27/2023","1,637.03","1,646.65","1,742.78","1,603.69","1.93M","-0.61%"
"08/20/2023","1,647.04","1,669.68","1,697.60","1,588.24","1.92M","-1.36%"
"08/13/2023","1,669.67","1,849.93","1,861.50","1,562.70","2.50M","-9.74%"
"08/06/2023","1,849.93","1,836.48","1,871.70","1,805.18","1.10M","0.73%"
"07/30/2023","1,836.48","1,880.94","1,884.28","1,818.15","1.49M","-2.34%"
"07/23/2023","1,880.46","1,866.60","1,903.85","1,835.01","1.29M","0.76%"
"07/16/2023","1,866.21","1,931.12","1,942.53","1,854.01","1.48M","-3.38%"
"07/09/2023","1,931.42","1,865.75","2,025.44","1,846.64","2.32M","3.55%"
"07/02/2023","1,865.25","1,924.84","1,974.50","1,827.24","1.93M","-3.08%"
"06/25/2023","1,924.51","1,875.30","1,943.58","1,822.13","3.20M","2.64%"
"06/18/2023","1,874.96","1,727.96","1,932.19","1,706.39","2.57M","8.52%"
"06/11/2023","1,727.75","1,750.03","1,775.79","1,632.41","2.21M","-1.36%"
"06/04/2023","1,751.53","1,891.51","1,914.16","1,719.13","2.25M","-7.43%"
"05/28/2023","1,892.05","1,829.89","1,925.68","1,824.69","2.17M","3.40%"
"05/21/2023","1,829.89","1,820.28","1,868.88","1,764.90","2.10M","0.56%"
"05/14/2023","1,819.66","1,794.87","1,845.21","1,774.82","2.04M","1.37%"
"05/07/2023","1,795.11","1,897.36","1,931.39","1,741.50","3.64M","-5.34%"
"04/30/2023","1,896.33","1,907.66","2,012.99","1,807.30","3.12M","-0.60%"
"04/23/2023","1,907.79","1,873.78","1,963.51","1,793.82","3.63M","1.81%"
"04/16/2023","1,873.93","2,089.85","2,137.66","1,831.95","3.93M","-10.36%"
"04/09/2023","2,090.61","1,848.73","2,127.63","1,825.59","4.08M","13.07%"
"04/02/2023","1,848.96","1,820.58","1,936.03","1,764.26","3.08M","1.55%"
"03/26/2023","1,820.79","1,741.97","1,845.57","1,691.42","3.66M","4.50%"
"03/19/2023","1,742.33","1,759.24","1,852.47","1,710.99","4.71M","-0.93%"
"03/12/2023","1,758.65","1,472.00","1,833.79","1,452.24","7.00M","19.55%"
"03/05/2023","1,471.03","1,566.54","1,587.99","1,371.36","4.18M","-6.11%"
"02/26/2023","1,566.74","1,594.62","1,677.43","1,547.59","3.32M","-1.75%"
"02/19/2023","1,594.66","1,691.35","1,722.14","1,562.07","3.41M","-5.73%"
"02/12/2023","1,691.62","1,538.51","1,738.86","1,464.12","4.15M","9.96%"
"02/05/2023","1,538.33","1,666.09","1,694.32","1,499.52","3.28M","-7.71%"
"01/29/2023","1,666.92","1,572.11","1,710.24","1,540.29","3.52M","5.96%"
"01/22/2023","1,573.11","1,626.68","1,662.10","1,523.70","3.43M","-3.22%"
"01/15/2023","1,625.49","1,549.31","1,678.51","1,505.36","3.45M","4.87%"
"01/08/2023","1,550.06","1,264.24","1,574.44","1,259.17","3.84M","22.64%"
"01/01/2023","1,263.90","1,195.92","1,274.82","1,191.64","1.99M","5.71%"
"12/25/2022","1,195.65","1,220.42","1,233.10","1,184.18","1.80M","-2.03%"
