"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","12.060","12.140","12.280","11.560","764.98K","-0.66%"
"06/01/2025","12.140","12.110","12.260","11.560","812.33K","0.25%"
"05/31/2025","12.110","12.190","12.470","11.580","1.25M","-0.66%"
"05/30/2025","12.190","13.900","14.430","12.160","2.93M","-12.37%"
"05/29/2025","13.910","15.010","15.300","13.800","1.16M","-7.45%"
"05/28/2025","15.030","14.650","15.470","14.430","1.63M","2.52%"
"05/27/2025","14.660","13.750","15.080","13.390","1.52M","6.70%"
"05/26/2025","13.740","13.100","14.270","13.090","1.22M","4.89%"
"05/25/2025","13.100","13.310","13.380","12.360","918.18K","-1.58%"
"05/24/2025","13.310","12.910","13.860","12.860","983.84K","3.02%"
"05/23/2025","12.920","14.060","14.930","12.820","2.50M","-7.98%"
"05/22/2025","14.040","12.400","14.360","12.390","1.89M","13.23%"
"05/21/2025","12.400","12.120","12.840","11.880","1.54M","2.31%"
"05/20/2025","12.120","11.810","12.310","11.590","773.28K","2.62%"
"05/19/2025","11.810","12.360","12.460","11.190","1.02M","-4.29%"
"05/18/2025","12.340","11.600","12.690","11.410","1.24M","6.38%"
"05/17/2025","11.600","11.950","11.980","11.360","667.51K","-2.93%"
"05/16/2025","11.950","12.250","12.640","11.880","597.07K","-2.45%"
"05/15/2025","12.250","13.230","13.360","11.970","1.21M","-7.34%"
"05/14/2025","13.220","13.690","13.990","13.100","1.01M","-3.43%"
"05/13/2025","13.690","13.760","14.050","12.840","1.24M","-0.51%"
"05/12/2025","13.760","13.170","14.320","12.910","1.95M","4.56%"
"05/11/2025","13.160","13.440","13.520","12.650","1.25M","-2.16%"
"05/10/2025","13.450","11.810","13.560","11.690","1.40M","13.89%"
"05/09/2025","11.810","11.190","12.140","11.090","1.63M","5.54%"
"05/08/2025","11.190","9.550","11.250","9.510","1.79M","17.17%"
"05/07/2025","9.550","9.240","9.680","9.190","891.00K","3.35%"
"05/06/2025","9.240","9.340","9.380","8.850","669.82K","-1.07%"
"05/05/2025","9.340","9.280","9.730","9.190","734.09K","0.65%"
"05/04/2025","9.280","9.630","9.700","9.240","615.88K","-3.63%"
"05/03/2025","9.630","10.270","10.280","9.620","711.97K","-6.23%"
"05/02/2025","10.270","10.160","10.600","10.080","911.93K","1.08%"
