"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","13.86","14.06","14.09","13.59","1.63M","-1.42%"
"06/01/2025","14.06","13.97","14.13","13.59","1.67M","0.72%"
"05/31/2025","13.96","13.89","14.19","13.42","3.24M","0.43%"
"05/30/2025","13.90","15.04","15.12","13.78","6.11M","-7.64%"
"05/29/2025","15.05","15.69","16.18","15.00","3.47M","-4.02%"
"05/28/2025","15.68","15.91","16.14","15.31","2.29M","-1.38%"
"05/27/2025","15.90","15.54","16.13","15.17","2.51M","2.32%"
"05/26/2025","15.54","15.53","15.96","15.42","2.14M","0.00%"
"05/25/2025","15.54","15.33","15.56","14.88","2.24M","1.30%"
"05/24/2025","15.34","15.52","15.91","15.24","2.60M","-1.29%"
"05/23/2025","15.54","16.74","17.16","15.43","6.19M","-7.17%"
"05/22/2025","16.74","16.11","16.90","16.04","4.54M","3.98%"
"05/21/2025","16.10","15.71","16.49","15.52","6.09M","2.61%"
"05/20/2025","15.69","15.79","16.41","15.25","4.39M","-0.57%"
"05/19/2025","15.78","15.90","15.99","14.86","4.33M","-0.69%"
"05/18/2025","15.89","15.32","16.39","14.95","4.29M","3.72%"
"05/17/2025","15.32","15.76","15.77","15.09","2.63M","-2.73%"
"05/16/2025","15.75","16.04","16.54","15.62","3.04M","-1.75%"
"05/15/2025","16.03","17.02","17.21","15.71","4.60M","-5.82%"
"05/14/2025","17.02","17.39","17.53","16.69","3.74M","-2.13%"
"05/13/2025","17.39","16.74","17.80","16.05","5.14M","3.88%"
"05/12/2025","16.74","17.10","17.97","16.04","6.49M","-2.16%"
"05/11/2025","17.11","17.34","17.40","16.31","4.83M","-1.33%"
"05/10/2025","17.34","16.01","17.46","15.87","5.23M","8.31%"
"05/09/2025","16.01","15.88","16.71","15.58","6.90M","0.76%"
"05/08/2025","15.89","13.83","15.96","13.82","5.68M","14.90%"
"05/07/2025","13.83","13.83","14.09","13.47","1.87M","0.07%"
"05/06/2025","13.82","13.65","13.89","13.21","2.17M","1.32%"
"05/05/2025","13.64","13.85","14.18","13.48","2.45M","-1.59%"
"05/04/2025","13.86","14.24","14.36","13.82","1.58M","-2.74%"
"05/03/2025","14.25","14.66","14.67","14.18","1.79M","-2.73%"
"05/02/2025","14.65","14.74","15.02","14.51","2.80M","-0.68%"
