"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","2.4580","2.4630","2.4790","2.3750","9.23M","-0.16%"
"06/01/2025","2.4620","2.4210","2.4730","2.3520","8.35M","1.74%"
"05/31/2025","2.4200","2.4430","2.4650","2.3370","14.06M","-0.98%"
"05/30/2025","2.4440","2.7540","2.7680","2.4160","21.47M","-11.29%"
"05/29/2025","2.7550","2.8710","2.9890","2.7470","17.76M","-4.01%"
"05/28/2025","2.8700","2.8170","2.8990","2.7390","10.92M","1.88%"
"05/27/2025","2.8170","2.7690","2.9240","2.6990","11.24M","1.73%"
"05/26/2025","2.7690","2.7960","2.8700","2.7390","9.39M","-1.00%"
"05/25/2025","2.7970","2.7740","2.8140","2.6380","9.37M","0.79%"
"05/24/2025","2.7750","2.7970","2.8600","2.7580","6.68M","-0.79%"
"05/23/2025","2.7970","3.0810","3.1580","2.7840","18.80M","-9.04%"
"05/22/2025","3.0750","2.8650","3.1000","2.8640","14.47M","7.40%"
"05/21/2025","2.8630","2.8140","2.9650","2.7550","17.23M","1.81%"
"05/20/2025","2.8120","2.7690","2.8860","2.6760","9.86M","1.48%"
"05/19/2025","2.7710","2.8690","2.8740","2.6460","11.31M","-3.42%"
"05/18/2025","2.8690","2.6900","2.9420","2.6420","12.60M","6.54%"
"05/17/2025","2.6930","2.7940","2.8070","2.6580","7.89M","-3.65%"
"05/16/2025","2.7950","2.8820","2.9890","2.7700","8.95M","-3.02%"
"05/15/2025","2.8820","3.0510","3.0990","2.8190","15.57M","-5.54%"
"05/14/2025","3.0510","3.2110","3.2920","3.0240","11.44M","-4.98%"
"05/13/2025","3.2110","3.1850","3.2920","3.0000","11.08M","0.72%"
"05/12/2025","3.1880","3.1400","3.3400","3.0150","18.71M","1.53%"
"05/11/2025","3.1400","3.3530","3.3680","3.0710","14.38M","-6.35%"
"05/10/2025","3.3530","2.9100","3.3770","2.8750","14.46M","15.54%"
"05/09/2025","2.9020","2.7360","2.9840","2.7240","18.62M","6.03%"
"05/08/2025","2.7370","2.2900","2.7410","2.2760","15.51M","19.83%"
"05/07/2025","2.2840","2.3290","2.3830","2.2240","10.61M","-1.89%"
"05/06/2025","2.3280","2.3160","2.3480","2.2350","9.10M","0.56%"
"05/05/2025","2.3150","2.3200","2.3960","2.2870","5.76M","-0.30%"
"05/04/2025","2.3220","2.4190","2.4540","2.3060","6.26M","-4.13%"
"05/03/2025","2.4220","2.5080","2.5150","2.4030","6.81M","-3.51%"
"05/02/2025","2.5100","2.5450","2.6320","2.4910","7.29M","-1.26%"
"05/01/2025","2.5420","2.4640","2.6030","2.4600","7.96M","3.25%"
"04/30/2025","2.4620","2.5290","2.5500","2.3780","7.92M","-2.69%"
"04/29/2025","2.5300","2.5840","2.6200","2.4870","9.87M","-2.09%"
"04/28/2025","2.5840","2.4920","2.6290","2.4210","12.14M","3.86%"
"04/27/2025","2.4880","2.6220","2.6550","2.4870","6.96M","-5.15%"
"04/26/2025","2.6230","2.6260","2.7290","2.5570","9.13M","0.15%"
"04/25/2025","2.6190","2.5420","2.6490","2.4860","10.95M","2.99%"
"04/24/2025","2.5430","2.4680","2.5870","2.3590","12.38M","2.96%"
"04/23/2025","2.4700","2.4060","2.5490","2.3910","13.89M","2.75%"
"04/22/2025","2.4040","2.2160","2.4260","2.1500","12.11M","8.43%"
"04/21/2025","2.2170","2.2440","2.3310","2.2010","10.90M","-1.16%"
"04/20/2025","2.2430","2.1840","2.2750","2.1440","6.60M","2.80%"
"04/19/2025","2.1820","2.0560","2.1980","2.0500","6.72M","6.13%"
"04/18/2025","2.0560","2.0520","2.0910","2.0250","9.01M","0.19%"
"04/17/2025","2.0520","1.9670","2.0960","1.9580","10.07M","4.32%"
"04/16/2025","1.9670","2.0360","2.0610","1.9130","17.04M","-3.53%"
"04/15/2025","2.0390","2.1140","2.1440","2.0160","10.87M","-3.59%"
"04/14/2025","2.1150","2.0930","2.2090","2.0790","16.04M","1.00%"
"04/13/2025","2.0940","2.2140","2.2470","2.0800","9.82M","-5.33%"
"04/12/2025","2.2120","2.0910","2.2350","2.0620","9.63M","5.89%"
"04/11/2025","2.0890","2.0050","2.1210","2.0000","11.27M","4.29%"
"04/10/2025","2.0030","2.1040","2.1040","1.9340","15.22M","-4.71%"
"04/09/2025","2.1020","1.9060","2.1440","1.8220","35.53M","10.17%"
"04/08/2025","1.9080","2.1200","2.1680","1.8780","21.93M","-9.92%"
"04/07/2025","2.1180","2.1610","2.2510","1.9800","34.49M","-2.04%"
"04/06/2025","2.1620","2.4410","2.4540","2.1110","11.70M","-11.50%"
