"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","154.714","157.613","158.930","151.848","4.34M","-1.89%"
"06/01/2025","157.702","156.491","157.869","150.703","3.67M","0.79%"
"05/31/2025","156.464","156.385","157.945","152.188","3.99M","0.16%"
"05/30/2025","156.210","167.189","167.461","155.563","6.37M","-6.32%"
"05/29/2025","166.741","172.135","175.221","166.097","4.62M","-3.19%"
"05/28/2025","172.234","176.764","177.410","169.013","4.25M","-2.52%"
"05/27/2025","176.692","174.875","179.369","171.454","4.60M","0.99%"
"05/26/2025","174.959","175.742","178.990","173.521","3.55M","-0.45%"
"05/25/2025","175.741","176.100","176.851","169.215","4.19M","-0.09%"
"05/24/2025","175.900","174.257","178.296","172.722","3.54M","1.11%"
"05/23/2025","173.970","179.724","187.634","173.439","10.12M","-3.18%"
"05/22/2025","179.691","173.527","180.756","172.696","6.04M","3.49%"
"05/21/2025","173.640","168.483","175.724","165.870","7.47M","3.00%"
"05/20/2025","168.589","166.972","172.972","164.626","5.25M","1.04%"
"05/19/2025","166.849","173.189","173.624","159.749","6.58M","-3.78%"
"05/18/2025","173.400","165.998","176.679","164.867","5.43M","4.49%"
"05/17/2025","165.944","167.391","169.926","164.110","3.90M","-0.91%"
"05/16/2025","167.465","168.781","174.088","166.565","4.52M","-0.97%"
"05/15/2025","169.111","176.749","178.292","167.021","6.23M","-4.24%"
"05/14/2025","176.606","183.782","184.770","173.427","5.97M","-3.92%"
"05/13/2025","183.808","174.310","184.742","166.644","7.55M","5.50%"
"05/12/2025","174.224","173.277","181.281","168.530","10.51M","0.58%"
"05/11/2025","173.216","177.605","179.948","169.523","5.59M","-2.61%"
"05/10/2025","177.861","172.843","178.830","168.852","5.35M","2.93%"
"05/09/2025","172.806","164.080","176.046","161.143","10.12M","5.09%"
"05/08/2025","164.436","147.445","164.436","147.118","9.17M","11.62%"
"05/07/2025","147.323","146.935","149.493","144.766","3.75M","0.34%"
"05/06/2025","146.820","146.700","147.195","141.621","3.50M","0.14%"
"05/05/2025","146.610","143.916","147.680","142.564","3.10M","1.84%"
"05/04/2025","143.967","146.685","147.712","143.704","2.34M","-1.87%"
"05/03/2025","146.704","148.046","148.987","145.893","2.12M","-0.91%"
"05/02/2025","148.047","151.020","151.861","147.360","3.50M","-1.88%"
