"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","2.224","2.221","2.230","2.132","4.00M","0.18%"
"06/01/2025","2.220","2.201","2.238","2.148","3.43M","0.82%"
"05/31/2025","2.202","2.152","2.232","2.063","7.64M","2.23%"
"05/30/2025","2.154","2.502","2.521","2.133","14.22M","-14.01%"
"05/29/2025","2.505","2.615","2.703","2.490","8.40M","-4.28%"
"05/28/2025","2.617","2.647","2.698","2.522","5.81M","-1.13%"
"05/27/2025","2.647","2.597","2.713","2.515","7.52M","1.96%"
"05/26/2025","2.596","2.559","2.692","2.550","8.72M","1.45%"
"05/25/2025","2.559","2.536","2.574","2.435","5.98M","0.87%"
"05/24/2025","2.537","2.481","2.608","2.465","9.08M","2.13%"
"05/23/2025","2.484","2.839","3.066","2.466","26.40M","-12.44%"
"05/22/2025","2.837","2.647","2.877","2.640","14.21M","7.34%"
"05/21/2025","2.643","2.681","2.745","2.558","12.04M","-1.38%"
"05/20/2025","2.680","2.637","2.700","2.561","4.68M","1.63%"
"05/19/2025","2.637","2.709","2.727","2.514","5.77M","-2.62%"
"05/18/2025","2.708","2.579","2.774","2.504","8.24M","5.04%"
"05/17/2025","2.578","2.677","2.693","2.537","4.61M","-3.70%"
"05/16/2025","2.677","2.757","2.820","2.644","7.80M","-2.80%"
"05/15/2025","2.754","3.056","3.084","2.694","12.19M","-9.88%"
"05/14/2025","3.056","3.318","3.401","3.026","7.33M","-7.81%"
"05/13/2025","3.315","3.169","3.373","2.960","8.07M","4.61%"
"05/12/2025","3.169","3.211","3.380","3.012","10.30M","-1.31%"
"05/11/2025","3.211","3.342","3.385","3.111","9.97M","-3.83%"
"05/10/2025","3.339","3.055","3.363","2.991","12.57M","9.15%"
"05/09/2025","3.059","2.753","3.089","2.664","21.47M","11.48%"
"05/08/2025","2.744","2.438","2.830","2.424","30.01M","12.55%"
"05/07/2025","2.438","2.359","2.461","2.336","3.76M","3.39%"
"05/06/2025","2.358","2.358","2.396","2.274","4.65M","0.04%"
"05/05/2025","2.357","2.389","2.456","2.320","3.70M","-1.34%"
"05/04/2025","2.389","2.450","2.468","2.356","2.84M","-2.45%"
"05/03/2025","2.449","2.554","2.558","2.386","3.27M","-4.11%"
"05/02/2025","2.554","2.632","2.678","2.536","4.27M","-3.00%"
