"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","3.2314","3.1885","3.2500","3.0992","1.25M","1.35%"
"06/01/2025","3.1885","3.1492","3.2196","3.0938","1.05M","1.25%"
"05/31/2025","3.1492","3.0875","3.1658","2.9935","1.94M","1.95%"
"05/30/2025","3.0889","3.3898","3.4061","3.0734","2.06M","-8.88%"
"05/29/2025","3.3898","3.3205","3.4735","3.2394","4.18M","1.95%"
"05/28/2025","3.3251","3.0084","3.6903","2.9741","7.60M","10.50%"
"05/27/2025","3.0092","2.9769","3.0295","2.9238","2.09M","1.37%"
"05/26/2025","2.9685","2.9959","3.0150","2.9357","1.25M","-0.89%"
"05/25/2025","2.9951","3.0306","3.0440","2.9142","1.65M","-1.21%"
"05/24/2025","3.0317","2.9751","3.0420","2.9605","1.68M","1.88%"
"05/23/2025","2.9758","3.1747","3.2209","2.9601","2.29M","-6.24%"
"05/22/2025","3.1739","3.0908","3.1993","3.0843","1.32M","2.69%"
"05/21/2025","3.0908","3.0833","3.1396","3.0194","2.19M","0.24%"
"05/20/2025","3.0833","3.0296","3.0938","3.0085","2.40M","1.77%"
"05/19/2025","3.0296","3.1377","3.1431","2.8840","2.73M","-3.48%"
"05/18/2025","3.1388","3.0771","3.2060","3.0174","2.45M","2.02%"
"05/17/2025","3.0767","3.1014","3.1119","3.0047","2.25M","-0.78%"
"05/16/2025","3.1010","3.0700","3.1771","3.0624","3.21M","1.01%"
"05/15/2025","3.0699","3.2453","3.2840","3.0233","3.51M","-5.40%"
"05/14/2025","3.2453","3.3968","3.4633","3.2237","2.56M","-4.46%"
"05/13/2025","3.3968","3.3530","3.4334","3.1978","3.70M","1.32%"
"05/12/2025","3.3526","3.4106","3.5834","3.2440","3.91M","-1.74%"
"05/11/2025","3.4118","3.5219","3.5888","3.3274","1.83M","-2.94%"
"05/10/2025","3.5150","3.2842","3.5225","3.2680","2.13M","7.03%"
"05/09/2025","3.2842","3.2139","3.3790","3.1755","2.13M","2.19%"
"05/08/2025","3.2138","3.0144","3.2573","3.0007","1.83M","6.63%"
"05/07/2025","3.0140","3.0139","3.0435","2.9784","1.13M","0.02%"
"05/06/2025","3.0135","2.9638","3.0379","2.9389","1.38M","1.65%"
"05/05/2025","2.9645","3.0156","3.0441","2.9427","1.01M","-1.68%"
"05/04/2025","3.0152","3.0852","3.1193","3.0108","963.06K","-2.25%"
"05/03/2025","3.0847","3.1704","3.2073","3.0723","1.78M","-2.68%"
"05/02/2025","3.1696","3.2140","3.2632","3.1152","1.30M","-1.17%"
