"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","3,382.68","3,310.11","3,382.91","3,301.81","","2.19%"
"06/01/2025","3,310.29","3,303.24","3,316.72","3,300.73","","0.64%"
"05/30/2025","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"05/29/2025","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"05/28/2025","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"05/27/2025","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"05/26/2025","3,342.94","3,354.30","3,357.03","3,323.91","","0.00%"
"05/25/2025","3,342.83","3,352.04","3,352.35","3,341.52","","-0.43%"
"05/23/2025","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"05/22/2025","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"05/21/2025","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"05/20/2025","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
"05/19/2025","3,229.85","3,214.60","3,249.91","3,205.98","","0.85%"
"05/16/2025","3,202.77","3,239.11","3,252.27","3,154.32","","-1.18%"
"05/15/2025","3,240.87","3,178.06","3,241.26","3,120.52","","1.95%"
"05/14/2025","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"05/13/2025","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"05/12/2025","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"05/09/2025","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"05/08/2025","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"05/07/2025","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"05/06/2025","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"05/05/2025","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"05/02/2025","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
